Image,x,y,w,h
dash.png,61,61,888,254
steering-wheel.png,595,254,240,123
buttons.png,79,270,853,507
buttons-RF.png,876,283,85,85
buttons-centre.png,476,271,65,66
buttons-ML.png,455,384,30,42
buttons-MR.png,527,387,30,40
buttons-FL.png,77,325,36,36
buttons-RL.png,104,739,33,33
buttons-RR.png,881,731,39,39
driver-seat.png,558,271,346,449
passanger-seat.png,115,298,332,420
FR-door-panel.png,883,203,97,471
FL-door-panel.png,31,203,101,481
rear-seat.png,131,712,737,400
backboard.png,107,1100,812,275
RR-door-panel.png,854,677,119,443
LR-door-panel.png,44,678,131,443
boot-interior.png,103,1310,811,125
centre-console.png,394,256,227,484
gearlever.png,478,388,54,65
air-vents.png,71,182,868,150
,,,,
,,,,
,,,,
,271,1166,1437,
