Image,x,y,w,h
bonnet.png,684,1024,271,336
boot.png,73,990,141,267
fr-door.png,443,1323,230,212
fr-fender.png,622,1269,320,220
fr-headlight.png,70,198,91,34
fr-mirror.png,40,258,48,32
front-bumper.png,42,173,374,85
lf-door.png,328,638,231,212
lf-fender.png,59,583,320,220
lf-headlight.png,295,198,92,34
lf-mirror.png,368,258,48,32
lr-door.png,526,641,207,224
lr-quarter-panel,674,565,271,140
lr-taillight.png,622,231,92,52
rear-bumber.png,595,171,340,68
rear-window.png,159,985,157,250
roof.png,299,973,283,221
rr-door.png,266,1325,209,224
rr-quarter-panel.png,56,1251,271,141
rr-taillight.png,820,231,92,52
windscreen.png,576,1003,147,279
