Image,x,y,w,h,,,
bonnet.png,684,329,271,336,,1027,1353
boot.png,73,363,141,267,,990,1353
fr-door.png,443,30,230,212,,1323,1353
fr-fender.png,622,84,320,220,,1269,1353
fr-headlight.png,70,1155,91,34,,198,1353
fr-mirror.png,40,1095,48,32,,258,1353
front-bumper.png,42,1180,374,85,,173,1353
lf-door.png,328,715,231,212,,638,1353
lf-fender.png,59,770,320,220,,583,1353
lf-headlight.png,295,1155,92,34,,198,1353
lf-mirror.png,368,1095,48,32,,258,1353
lr-door.png,526,712,207,224,,641,1353
lr-quarter-panel,674,788,271,140,,565,1353
lr-taillight.png,622,1122,92,52,,231,1353
rear-bumber.png,595,1182,340,68,,171,1353
rear-window.png,159,368,157,250,,985,1353
roof.png,299,380,283,221,,973,1353
rr-door.png,266,28,209,224,,1325,1353
rr-quarter-panel.png,56,102,271,141,,1251,1353
rr-taillight.png,820,1122,92,52,,231,1353
windscreen.png,576,350,147,279,,1003,1353
rr-rim,194,181,105,99,,1172,1353
rf-rim,713,181,105,99,,1172,1353
lf-rim,182,866,105,99,,487,1353
lr-rim,701,866,105,99,,487,1353
